elementName,score,nbOfSongs
"Flowstone Saga","1105",3
"Balloon Fight","1072",2
"FTL: Faster Than Light","1069.75",4
"Sonic Spinball NES Arrange OST","1067.5",2
"Robocop 3","1063",2
"Mario Paint","1063",3
"Nintendo Puzzle Collection","1058.5",4
"When It Hits the Fan","1058.5",4
"Jordan vs. Bird: One on One","1058.5",2
"Eternity II -GB's SaGa Remix-","1058.5",2
"Tentama 2wins","1056.25",4
"Punch-Out!!","1055.2857142857142",7
"Super Hexagon","1054",4
"Mario Kart: Double Dash!!","1054",2
"Cool Spot","1054",2
"Sonic Spinball","1054",2
"Eliminator","1054",2
"Tower Of Heaven","1051.75",4
"Too Bleep to Blop","1049.5",2
"Bubble Bobble","1048.6",5
"Mega Man Zero 3","1046.8",5
"Slalom","1045",2
"Castlevania: Dracula X","1045",3
"Crystal Kingdom Dizzy","1045",2
"Street Fighter III: 3rd Strike: Fight for the Future","1045",4
"Shadowrun","1045",2
"Comic Bakery","1045",2
"Bubsy in Claws Encounters of the Furred Kind","1045",2
"Animal Crossing: New Leaf","1045",2
"Final Fantasy X-2","1043.2",5
"Earthworm Jim","1042",6
"Cheetahmen II","1042",3
"Space Harrier","1041.4",5
"Alisia Dragoon","1041.4",5
"Robocop","1040.5",4
"Kirby: Canvas Curse","1040.5",2
"Meowgical Tower","1040.5",2
"Hero Quest","1040.5",2
"Chip's Challenge","1040.5",2
"The Adventures of Bayou Billy","1039.6",5
"The Legend of Zelda: Four Swords Adventures","1039.6",5
"Metroid: Zero Mission","1039",3
"Sonic the Hedgehog: Triple Trouble","1039",3
"Star Wars","1039",3
"Gears of War 2","1039",3
"Pirate Pop Plus","1038.25",4
"Andorogynus","1038.25",4
"Marble Madness","1037.8",5
"The Goonies II","1037.8",5
"Final Fantasy VIII Chips","1036",5
"Teenage Mutant Ninja Turtles IV: Turtles in Time","1036",10
"Bad Joke EP","1036",4
"S3XMODIT Mania Entries","1036",2
"Final Fantasy IV Piano Collections","1036",4
"Blades of Steel","1036",2
"Leisure Suit Larry in the Land of the Lounge Lizards","1036",2
"Kisou Ryouhei Gunhound Pocket","1036",2
"Star Soldier","1036",2
"Mega Man X7","1034.875",8
"Castlevania: Bloodlines","1034.7142857142858",7
"Jet Set Radio","1034.2",5
"Tales of Innocence","1033.75",4
"DuckTales: Remastered","1033.4285714285713",7
"Candy Corn II: The Sequeling","1033",6
"Gauntlet III: The Final Quest","1033",3
"Metroid II: Return of Samus","1033",3
"Miracle ★ Oracle","1033",3
"Bleed","1032.4",5
"Nekojishi","1032.4",5
"Final Fantasy X Chips","1031.5",2
"Battle Garegga Rev.2016","1031.5",4
"Bugsnax","1031.5",6
"Rambo","1031.5",2
"Contra: Hard Corps","1031.5",2
"Iridescent","1030.6",5
"Sophomore Year","1030.6",5
"The Black Mages","1030.375",8
"Half-Life 2","1030",3
"Gremlins 2: The New Batch","1030",6
"The Briggs Effect 3","1030",3
"Robowarrior","1030",3
"Null Divide +","1030",3
"Tiny Toon Adventures 2: Trouble in Wackyland","1030",3
"Phantasy Star Sound Collection II","1030",3
"Ollie King","1030",3
"Killer Instinct (SNES)","1029.5714285714287",7
"Batman (NES)","1029.25",8
"Castlevania: Curse of Darkness","1029.25",4
"The 10nd Law","1029.25",4
"Pulse: FINAL FANTASY XIV Remix Album","1028.8",5
"Dragon Quest III (SNES)","1028.8",5
"Disco Elysium","1028.8",5
"Gradius III","1028.5",6
"Eschatos","1028.5",6
"Super Street Fighter II: The New Challengers","1027",6
"Metal Masters","1027",2
"Spelunky","1027",3
"Castlevania: The Adventure","1027",8
"Kirby Super Star","1027",10
"Heroes of Mana","1027",6
"Myth: History in the Making","1027",3
"Chiptopia - The Best of 8 Bit Weapon & ComputeHer","1027",3
"We Love Katamari","1027",4
"Final Fantasy IV Celtic Moon","1027",4
"Ground Zero","1027",3
"Super Mario Sunshine","1027",6
"Castlevania: Circle of the Moon","1027",6
"Touhou Bunkachou: Shoot the Bullet","1027",4
"Minibosses","1027",3
"Broken Sword","1027",4
"SimCity 2000","1027",4
"Kingdom Hearts 358/2 Days","1027",5
"ARK: Survival Evolved","1027",4
"VLAD","1027",3
"Castlevania: Spectral Interlude","1027",2
"Witch 'Em Up","1027",2
"Fortuna: The Sector X Sessions","1027",3
"Alex Kidd In Shinobi World","1027",3
"Dragon Quest IX: Sentinels of the Starry Skies","1027",4
"Mii Force","1027",5
"Castlevania: Dawn of Sorrow","1025.875",8
"Donkey Kong Country 3: Dixie Kong's Double Trouble!","1025.7142857142858",14
"Bean Dreams","1025.7142857142858",7
"Super Mario Land 2: 6 Golden Coins","1025.7142857142858",7
"Frogsong","1025.7142857142858",7
"Castlevania: The Dracula X Chronicles","1025.5",6
"The Sims","1025.5",6
"Mighty Switch Force!","1025.3636363636363",11
"Triptunes","1025.2",5
"Monster Hunter Freedom 2","1025.2",5
"ALL of R2","1025.2",5
"Guilty Gear -STRIVE-","1025.2",10
"Jazz Jackrabbit","1025.2",5
"Forever Online","1025.2",5
"Gley Lancer","1024.75",4
"Katamari Damacy","1024.75",12
"Love Everlasting","1024.75",8
"Sonic the Fighters","1024.75",4
"Transport Tycoon Deluxe","1024.75",4
"Uplink","1024.75",4
"StarCraft","1024.3",10
"Winbee's Neo Cinema Club ~Ever Green Compilation~","1024",3
"Rockman: Battle & Fighters","1024",3
"DoDonPachi SaiDaiOuJou","1024",3
"Bionic Commando (ZX Spectrum)","1024",3
"VVVVVV","1023.7272727272727",11
"Love SQ","1023.625",8
"Jackal","1023.4",5
"Batman: Return of the Joker (NES)","1023.4",5
"To the Moon","1023.4",5
"OutRun 2","1023.4",5
"Shadow of the Ninja","1023.4",5
"Super Robot Wars Compact","1023.4",5
"Touhou Kenbunroku vol.2 ~Last Boss 009: Osoreooki Kamigami no Tawamure~","1023.4",5
"Star Fox Assault","1023.4",5
"Donkey Kong Country: Kong in Concert","1023.25",12
"Castlevania: Portrait of Ruin","1023.1428571428571",7
"Fire Emblem: Three Houses","1023.1428571428571",7
"CHRONO TRIGGER Orchestral Arrangement","1022.5",8
"Green Beret","1022.5",4
"Fire Emblem","1022.5",2
"Indiana Jones and the Last Crusade","1022.5",6
"Ico","1022.5",6
"Kirby & the Amazing Mirror","1022.5",4
"Yume Kōjō: Doki Doki Panic","1022.5",2
"Mega Man III (GB)","1022.5",12
"ChipWIN Expansion Pack","1022.5",6
"Portal","1022.5",4
"Rad Racer","1022.5",2
"Ring Fit Adventure","1022.5",4
"The Power to Destroy Everything","1022.5",2
"School of Sorcery","1022.5",4
"Thunderous Crash","1022.5",4
"Waterworld","1022.5",4
"Homeworld","1022.5",2
"Kingdom Hearts Remix","1022.5",2
"Baldur's Gate","1022.5",2
"Spiritfarer","1022.5",4
"Blast from the Past","1022.5",2
"In The Year 200X AD","1022.5",2
"Marriage Quest","1022.5",2
"Kickle Cubicle","1022.5",2
"F-1 Spirit","1022.5",4
"Pro Darts","1022.5",2
"Riven","1022.5",2
"Golden Sun & Silver Moon","1022.5",2
"Kid Chameleon","1022.5",2
"Terraria","1021.8571428571429",7
"The Best Of Video Game Remix - Level 1","1021.8571428571429",7
"Shinra Banshou","1021.8571428571429",7
"Bloodstained: Ritual of the Night","1021.8571428571429",7
"Mario & Luigi: Bowser's Inside Story","1021.8571428571429",7
"Chrono Trigger Reflections","1021.8571428571429",7
"Metal Gear Solid 2: Sons of Liberty","1021.6",10
"Final Fantasy IX Chips","1021.6",5
"Homestuck","1021.6",5
"Castlevania: Rondo of Blood","1021.375",8
"Heart of a Gamer: A Tribute to Satoru Iwata","1021",6
"Earthworm Jim 2","1021",3
"Wingman 2","1021",3
"Three Years","1021",3
"N-Beat 7.6.5","1021",3
"Half-Life 2: Episode One","1021",3
"Gamer Symphony Orchestra Fall 2013","1021",3
"Mega Man Zero 2","1020.7",10
"Chip 'n Dale: Rescue Rangers","1020.7",10
"Phantasy Star II","1020.5714285714286",7
"Super Mario Odyssey","1020.3684210526316",19
"Diablo","1020.25",4
"Mysterious Space","1020.25",4
"X-Men (Arcade)","1020.25",4
"Darkwing Duck","1020.25",8
"Tactics Ogre: Let Us Cling Together (PSP)","1020.25",4
"Unlock Everything","1020.25",4
"Lemmings (C64)","1020.25",4
"Nintendo Land","1020.25",4
"Halo 3: ODST","1020.25",4
"Goombette","1020.25",4
"Gradius: The Interstellar Assault","1020.25",4
"Metal Gear Solid: Peace Walker","1020.25",4
"Dr. Mario","1020",9
"The Trance Album","1020",9
"Castlevania Chronicles","1019.8",5
"The World Ends With You","1019.8",5
"GHOSTS","1019.8",5
"Katana ZERO","1019.8",5
"Sonic Adventure Music Experience","1019.8",5
"Mega Man","1019.7142857142857",21
"Scott Pilgrim vs. The World: The Game","1019.6363636363636",11
"Final Doom","1019.5",6
"Heroes of Might and Magic III","1019.5",6
"Atari-Ska L'Attack","1019.5",6
"Smash The Record: The Record","1019.2857142857143",7
"Doom II: Delta-Q-Delta","1019.2857142857143",7
"Progenitor Star","1019.2857142857143",7
"Sonic the Hedgehog (2006)","1019.125",8
"ROCKMAN Utopia","1019.125",8
"Metroid Prime 2: Echoes","1018.6",15
"Super Mario Bros.","1018.5",18
"Wolfenstein 3D","1018",4
"Doom II: Hell on Earth","1018",3
"Journey to Silius","1018",12
"Flimbo's Quest","1018",3
"Super Mario Bros. 2","1018",17
"Kirby 64: The Crystal Shards","1018",13
"Metroid Fusion","1018",4
"Deus Ex: Sonic Augmentation","1018",8
"Street Fighter Compilation \"RE:\"MIX Chiptune","1018",6
"Turbo OutRun","1018",9
"Adventure Island","1018",3
"Outer Wilds","1018",5
"Animal Crossing: Wild World","1018",2
"Metal Slug","1018",5
"Weezer - The 8-bit Album","1018",3
"Kris Keyser","1018",4
"Touhou Gensoukyou: Lotus Land Story","1018",10
"Fragile Dreams ~Farewell Ruins of the Moon~","1018",4
"Fireball!","1018",4
"Chronology: A Jazz Tribute to Chrono Trigger","1018",8
"Duke Nukem 3D","1018",3
"Dead Cells","1018",4
"Return of the Obra Dinn","1018",4
"Jets 'n' Guns 2","1018",6
"Touhou Youyoumu: Perfect Cherry Blossom","1018",7
"Battletoads & Double Dragon","1018",4
"Dragon Quest Monsters II","1018",2
"Turrican: The Final Fight - Maxi Single","1018",2
"F-Zero X","1018",7
"20th Anniversary Rockman 1~6 Techno Arrange Ver.","1018",5
"Phantasy Star Sound Collection I","1018",4
"Disgaea 2: Cursed Memories","1018",10
"Stinger","1018",5
"Ski or Die","1018",4
"Tiny Barbarian","1018",2
"Highway Hunter","1018",2
"3D Pinball: Space Cadet","1018",2
"Epoch (missingNo.)","1018",4
"A Certain Magical Virtual-On","1018",5
"Let's Play Live!","1018",2
"Children of Termina","1018",7
"Metal Gear Ac!d 2","1018",4
"Assassin's Creed","1018",3
"Tetrisphere","1018",2
"Zelda Step","1018",2
"Advance Wars","1018",2
"Super Ghouls'n Ghosts","1018",2
"Protractor ~Saturnian Go Home~","1018",2
"MoeNES vol.1: the idol composer's groove","1018",3
"Adventure Island 3","1018",2
"Wonder Boy in Monster Land","1018",2
"Fallout 2","1018",2
"Zombies Rocked My Neighbors","1018",3
"The Pink Album","1017.1818181818181",11
"Teenage Mutant Ninja Turtles","1017.1818181818181",11
"V-Chipular Bandslaughter","1017.1",10
"Chiptunez of Destiny","1017.1",10
"Final Fantasy V: The Fabled Warriors ~II. WATER~","1017",9
"Warcraft 2 - Tides of Darkness","1017",9
"BRA★BRA FINAL FANTASY BRASS de BRAVO 2","1017",9
"NES Cult Armageddon","1017",9
"Super Metroid","1016.9024390243902",41
