id,album,artist,title,rating
12292,"Retro Remix Revue Vol. 2","Retro Remix Revue","The Legend of Zelda: Ocarina of Time - Gerudo Valley",5
13517,"Tetris","Hirokazu Tanaka","Type A",5
15019,"The Legend of Zelda","Koji Kondo","Overworld",5
22140,"memória! / The Very Best of Yoko Shimomura","Natsumi Kameoka","Beware the Forest's Mushrooms (Super Mario RPG)",5
2334,"Super Mario 64","Koji Kondo","Super Mario 64 Main Theme",5
2335,"Super Mario 64","Koji Kondo","Dire, Dire Docks",5
2866,"Distant Worlds: Final Fantasy","Royal Stockholm Philharmonic Orchestra","Terra’s Theme (FFVI)",5
2872,"Distant Worlds: Final Fantasy","Royal Stockholm Philharmonic Orchestra","Opening~Bombing Mission (FFVII)",5
3052,"Final Fantasy VII","Nobuo Uematsu","Still More Fighting",5
3286,"Chrono Cross","Yasunori Mitsuda","Chrono Cross ~Time's Scar~",5
3304,"Chrono Trigger","Yasunori Mitsuda","Robo's Theme",5
3305,"Chrono Trigger","Yasunori Mitsuda","To Far Away Times",5
3306,"Chrono Trigger","Yasunori Mitsuda","Schala's Theme",5
3307,"Chrono Trigger","Yasunori Mitsuda","Corridor of Time",5
3315,"Chrono Trigger","Yasunori Mitsuda","Memories of Green",5
3320,"Chrono Trigger","Yasunori Mitsuda","Chrono Trigger (Arrange Version 1)",5
3321,"Chrono Trigger","Yasunori Mitsuda","Wind Scene",5
3322,"Chrono Trigger","Yasunori Mitsuda","Peaceful Days",5
35460,"Super Smash Bros. Ultimate","Toby Fox","Nintendo & Friends -- MEGALOVANIA",5
4086,"Super Smash Bros. Melee: Smashing Live","New Japan Philharmonic Orchestra","Great Bay Shrine",5
4689,"The Legend of Zelda: A Link to the Past","Koji Kondo","Dark World",5
4692,"The Legend of Zelda: A Link to the Past","Koji Kondo","Overworld (Link to the Past)",5
4719,"The Legend of Zelda: Ocarina of Time","Koji Kondo","Gerudo Valley",5
4720,"The Legend of Zelda: Ocarina of Time","Koji Kondo","Gerudo Valley (Original)",5
4723,"The Legend of Zelda: The Wind Waker","Kenta Nagata, Hajime Wakai, Toru Minegishi, Koji Kondo","Dragon Roost Island",5
4741,"Super Smash Bros. Brawl","Yutaka Iraha","Zelda: Ocarina of Time - Hyrule Field",5
6557,"Donkey Kong Country 2: Diddy's Kong Quest","David Wise","Stickerbush Symphony",5
7108,"Game Music Concert","Koji Kondo","Theme of the Legend of Zelda",5
5085,"Super Mario RPG: Legend of the Seven Stars","Yoko Shimomura","Beware The Forest's Mushrooms",4.9974685
19053,"Super Mario World","zircon","Monstrous Turtles!",4.9944444
3046,"Final Fantasy VII","Nobuo Uematsu","Fighting",4.9927926
2340,"Super Mario Galaxy","Mahito Yokota","Wind Garden",4.9824324
12108,"The Pink Album","Kirby's Dream Band","Chrono Trigger",4.981818
35495,"Super Smash Bros. Ultimate","Junichi Nakatsuru, Hideki Sakamoto","Smash Bros. -- Menu",4.979487
37196,"Final Fantasy VII Remake","Nobuo Uematsu, Shotaro Shima ","Let the Battles Begin! - A Merc's Job",4.9753847
3292,"Chrono Cross","Yasunori Mitsuda","Dream of the Shore Near Another World",4.9744363
12814,"DuckTales","Hiroshige Tonomura","The Moon",4.9703126
10396,"The Black Mages","The Black Mages","Those Who Fight Further (Final Fantasy VII)",4.967901
14556,"Mega Man 2","Takashi Tateishi","Dr. Wily Stage 1",4.9659576
14756,"Castlevania","Kinuyo Yamashita","Heart of Fire",4.964706
4717,"The Legend of Zelda: Ocarina of Time Hyrule Symphony","Koji Kondo","Legend of Zelda",4.9638095
15042,"The Legend of Zelda: Link's Awakening","Kazumi Totaka, Minako Hamano, Kozue Ishikawa","Overworld",4.9619045
27263,"To Far Away Times Chrono Trigger Chrono Cross Arrangement Album","Yasunori Mitsuda","Wind Scene",4.9577465
13974,"Super Mario Land","Hirokazu Tanaka","Birabuto Kingdom",4.9544554
7423,"Secret of Mana","Hiroki Kikuta","The Boy Aims For Wild Fields",4.95
15033,"The Legend of Zelda: Link's Awakening","Kazumi Totaka, Minako Hamano, Kozue Ishikawa","Tal Tal Heights",4.9493976
13958,"Super Mario Bros. 2","Koji Kondo","Enjoying The Land",4.948214
7138,"DuckTales: Remastered","Hiroshige Tonomura, Jake Kaufman (virt)","The Moon",4.9468207
2793,"Final Fantasy VI","Nobuo Uematsu","Tina",4.9461536
3301,"Chrono Cross","Yasunori Mitsuda","Dreamwatch of Time",4.9457946
32822,"CHRONO TRIGGER Orchestral Arrangement","Tokyo Philharmonic Orchestra, Kosuke Yamashita","Presentiment / Chrono Trigger",4.945098
2971,"Final Fantasy V","Nobuo Uematsu","Battle With Gilgamesh",4.943421
2283,"Super Mario Galaxy 2","Shigetoshi Gohara","Nostalgic Fortress",4.9430556
9623,"Chrono Trigger Reflections","Justin St. Charles","Memories of Green",4.9428573
26513,"Undertale","Toby Fox","Megalovania",4.942675
2354,"Super Mario Galaxy","Mahito Yokota","Egg Planet",4.942222
14757,"Castlevania","Satoe Terashima","Vampire Killer",4.9418607
2333,"Super Mario 64","Koji Kondo","Bowser's Road",4.9398375
6571,"Donkey Kong Country","David Wise","Aquatic Ambiance",4.9375796
4727,"The Legend of Zelda: The Wind Waker","Kenta Nagata, Hajime Wakai, Toru Minegishi, Koji Kondo","Ocean",4.9372883
4665,"The Legend of Zelda 25th Anniversary","Kousuke Yamashita, Chad Seiter, Orchestra Nova San Diego","Gerudo Valley",4.9338984
26946,"Chronicles of Time","Derris-Kharlan","Eons  I",4.9333334
35454,"Super Smash Bros. Ultimate","Yusuke Takahama, Setsuo Yamamoto","Mega Man -- Opening Stage - Mega Man X",4.9333334
5454,"Star Fox","Hajime Hirasawa","Corneria",4.9324675
