id,album,artist,title,rating,Current score
13877,"Mighty Switch Force!","Jake Kaufman (virt)","Whoa I'm In Space Cuba (BONUS CHIP MIX)",4.757647,1171
13901,"Bubble Bobble","Tadashi Kimijima","Main Theme",4.379487,1162
28836,"Crypt of the NecroDancer: OverClocked","Chimpazilla","Sepulchre Soirée",4.6613636,1162
14295,"Punch-Out!!","Akito Nakatsuka, Kenji Yamamoto, Yukio Kaneoka","Fight Theme",4.674468,1153
39199,"Dragon Souseiki","Takahiro Matsuki","A Rest in Town",3.682353,1153
10396,"The Black Mages","The Black Mages","Those Who Fight Further (Final Fantasy VII)",4.967901,1144
12108,"The Pink Album","Kirby's Dream Band","Chrono Trigger",4.9816327,1144
24151,"Donkey Kong Country 3: Dixie Kong's Double Trouble!","Paul Hadame","Mountain's Wind",4.475,1144
32433,"FTL: Faster Than Light","Sir_NutS","An Open Galaxy",4.5621624,1144
9558,"VVVVVV","Danny Baranowsky","Clubbed Baby VVVVVVeal",4.552688,1144
12930,"Marble Madness","Hal Canon, Brad Fuller, Steve Hayes, David Wise","Stage 2",4.413084,1135
15543,"Sonic Spinball NES Arrange OST","Daniel White (danooct1)","Toxic Caves",4.47191,1135
16968,"Tower Of Heaven","flashygoodness","Indignant Divinity",4.760784,1135
17632,"Edge","Romain Gauthier","Kakkoi!",4.5733333,1135
18207,"Beatmania IIDX 7th Style","SGX","Kick Your A",4.3703704,1135
22925,"Katamari Damacy","DDRKirby(ISQ)","Love Everlasting",4.8084035,1135
29087,"Mirror Image: A Link to the Past ReMixed","DaMonz","The Dankest Chips",4.6586957,1135
29344,"Candy Corn II: The Sequeling","YoshiBlade","Be Kind, Rewind",4.6849055,1135
30032,"Gley Lancer","Masanori Hikichi, Noriyuki Iwadare, Yoshiaki Kubotera, Isao Mizoguchi","Select Mover System",4.227027,1135
39195,"Flowstone Saga","Xaleph, ZackParrish, Audiomint","When the Moon Shines",4.12,1135
17537,"Robocop 3","Jeroen Tel","Title Screen",4.339286,1126
18715,"Metroid","Gabe Terracciano, Shnabubula","Suite for Violin and Piano",4.624074,1126
18895,"Space Harrier","CarboHydroM","Limitless Skies",3.8338027,1126
20022,"Metal Gear Solid 4: Guns of the Patriots","DragonAvenger, Level 99, OceansAndrew","Sign of Fortune",4.227848,1126
20636,"Sonic the Hedgehog: The Sound of Speed","halc, Insixfour, PROTO·DOME","Shifting Islands",4.4,1126
20973,"Mega Man","Nutritious, WillRock","Cruise Control",4.5094337,1126
21060,"Super Street Fighter II: The New Challengers","MkVaff","Cammy's London Drizzle",4.038889,1126
21066,"Romancing SaGa","Juan Medrano, Theory of N","Tant Mieux",4.1851063,1126
24150,"Pokémon Mystery Dungeon Red/Blue","TGH","Times Like These",4.441791,1126
36124,"Mini Mega Man","DDRKirby(ISQ)","Mini Mega Man",4.1032257,1126
7138,"DuckTales: Remastered","Hiroshige Tonomura, Jake Kaufman (virt)","The Moon",4.975141,1126
8158,"Castlevania: Portrait of Ruin","TGH","The Whip's Memory",4.527835,1126
12814,"DuckTales","Hiroshige Tonomura","The Moon",4.9515624,1117
12886,"Batman (NES)","Naoki Kodaka","Stage 4",4.4836364,1117
13441,"Super Hexagon","chipzel","Focus",4.4764047,1117
14799,"Metroid","Hirokazu Tanaka","Brinstar",4.7530866,1117
14821,"Monty on the Run","Rob Hubbard","Main Theme",3.8589473,1117
16677,"Katamari Damacy Novita","SEXY-SYNTHESIZER","Katamari of Love (SEXY-SYNTHESIZER Remix)",3.6666667,1117
17888,"Hedgewars","DarkSim","Hogs of War",4.04058,1117
18140,"25YEARLEGEND: A Legend of Zelda Indie Game Composer Tribute","Big Giant Circles, Jeff Ball","Thunderstruck",4.824348,1117
18406,"Super Double Dragon","ParagonX9","No. 5 (Snapdragon)",4.1666665,1117
18529,"Wolfenstein 3D","Psycho Crusher","My Loved Ones Are Gone",4.0333333,1117
18627,"Super Mario World 2: Yoshi's Island","MkVaff","Crystalline Caverns",4.584615,1117
18946,"Chrono Cross","Avitron, Chris ~ Amaterasu","A Dream Between Worlds",4.622857,1117
19043,"Pokémon: The Eevee EP","Jakesnke17, Source X","Conundrum",4.4225354,1117
19053,"Super Mario World","zircon","Monstrous Turtles!",4.9839287,1117
19506,"Final Fantasy X-2","Fatty Acid, sephfire","Under a New Moon",4.177778,1117
20152,"Teenage Mutant Ninja Turtles IV: Turtles in Time","chumble spuzz","Turd Surfers",4.3779817,1117
20172,"Vampire Variations: A Musical Tribute to Castlevania","Super Guitar Bros.","Of Whips and Strings",4.75914,1117
25746,"FTL: Faster Than Light","Little V","Faster Than Rock",4.495,1117
29712,"Rhythm Gunner","DDRKirby(ISQ)","Rhythm Gunner",4.611321,1117
30128,"Cannon Fodder","fredrikd","Cannon Straits",4.4816327,1117
32822,"CHRONO TRIGGER Orchestral Arrangement","Tokyo Philharmonic Orchestra, Kosuke Yamashita","Presentiment / Chrono Trigger",4.936,1117
34587,"Xenoblade Chronicles","Kade Kalka","The Shimmering Ether of Satorl",4.230435,1117
39048,"Aspar GP Master","Jeroen Tel","Main Theme",3.75,1117
39197,"Flowstone Saga","Emunator, ZackParrish, paradiddlesjosh","Hanagasumi ~ A Mist of White Upon the Lake",3.5866666,1117
6237,"F-Zero X Expansion Kit","Taro Bando, Hajime Wakai","Rainbow Road",4.7361703,1117
10474,"Love SQ","livetune","Outskirts of Time (livetune remix)",4.5591836,1108
10594,"Super Metroid","DarkeSword","Heat Vision",4.4264708,1108
13154,"Star Wars","Marshall Parker","Cantina Theme",4.163636,1108
13323,"Little Nemo: The Dream Master","Junko Tamiya","Dream 8 - Nightmare Land",4.2,1108
13958,"Super Mario Bros. 2","Koji Kondo","Enjoying The Land",4.9469028,1108
14297,"Punch-Out!!","Akito Nakatsuka, Kenji Yamamoto, Yukio Kaneoka","Bicycle Training",4.536709,1108
14331,"Green Beret","Martin Galway","Title",3.213793,1108
17170,"Cave Story","Daisuke Amaya (Pixel)","Eyes of Flame",3.9956522,1108
17678,"Overlord (Supremacy: Your Will Be Done)","Jeroen Tel, Maniacs of Noise","Supremacy",4.4278483,1108
17890,"Diablo","AmIEviL","Wet Grass Inspired",4.268182,1108
18338,"Dune","Bart Klepka","Arrakis (Wormsign Mix)",4.1737375,1108
18395,"Radical Dreamers: Nusumenai Houseki","Dale North","Northern Promise",4.2626867,1108
18665,"Metroid Prime 2: Echoes","Argle","Bogged Down",4.413158,1108
18720,"Mega Man II (GB)","Luke Keever","The Will of the Forest",4.1944447,1108
19003,"Super Mario Bros.","Chris J. Hampton","Super Jungle Brothers",3.859375,1108
19021,"Earthworm Jim","about:blank","Acrophobia",4.1044445,1108
19031,"Teenage Mutant Ninja Turtles III: The Manhattan Project","Mazedude","Turtle Wave",4,1108
19941,"Doom II: Hell on Earth","Mazedude","Gothic Sandy",4.1228914,1108
20760,"The Legend of Zelda: Four Swords Adventures","halc","The Electric Flute",4.5040817,1108
21086,"Tetris","djpretzel","Slavic Roots",4.12,1108
21747,"Super Mario 64","DDRKirby(ISQ)","Welcome to My Kastle",4.780822,1108
24038,"Kirby Super Star","GaMetal","Food Frenzy",4.521154,1108
24718,"Flimbo's Quest","Sir_NutS","Pearly Gates",4.1475,1108
25940,"Final Fantasy Tactics","Level 99","Finding Somebody to Love in This Meager World",3.8318841,1108
26455,"System Shock","Sir_NutS","Digital Horrors",3.555056,1108
26748,"Heart of a Gamer: A Tribute to Satoru Iwata","Sbeast","Choose Your Character!",4.6128206,1108
27007,"Portal 2","Chimpazilla","Reconstructing Lemons",3.6625,1108
28003,"Mario Paint","dabedaab","Pickin' Colors",4.172222,1108
28165,"Candy Corn","YoshiBlade","I Never Drink... Wine",4.1737704,1108
29039,"Mario Kart: Double Dash!!","Andy Gillion","Shredding the Rainbow",4.3609757,1108
30276,"Castlevania: Dracula X","Gario","Burning the Clocktower",4.353846,1108
30678,"Mushihimesama","Manabu Namiki","To Shinju Forest - Stage 1",4.47541,1108
32552,"Donkey Kong Country","744","Drowning in Brambles",4.5688887,1108
3305,"Chrono Trigger","Yasunori Mitsuda","To Far Away Times",5,1108
34563,"NieR:Automata","Keiichi Okabe","Song of the Ancients - Atonement",4.8714285,1108
35532,"Half-Life 2","BKM, thebitterroost","Into the Cold Light",4.0938773,1108
37496,"Donkey Kong Country 2: Diddy's Kong Quest","Mental","Watercolours",4.1761904,1108
37933,"Deltarune","Toby Fox","Chapter 2: A CYBER'S WORLD?",4.625641,1108
37941,"Atelier Shallie: Alchemists of the Dusk Sea","Ivan Hakštok","Starlit Sails",4.229268,1108
38350,"Gremlins 2: The New Batch","Astral Tales","Astral Office",3.8833334,1108
39186,"Nintendo Puzzle Collection","Masaru Tajima","Rayea's Theme (Panic)",4.1411767,1108
39198,"8 Bit of Zelda: Ocarina of Time","Bizen","Kokiri Forest",3.6,1108
4355,"Super Castlevania IV","Masanori Adachi, Sotaro Tojima","Bloody Tears",4.8734694,1108
5808,"Espgaluda II: Black Label","Ryu Umemoto","Stage 6",4.5518517,1108
6557,"Donkey Kong Country 2: Diddy's Kong Quest","David Wise","Stickerbush Symphony",4.9786983,1108
7593,"Metal Gear Solid 2: Sons of Liberty","Tappi Iwase","Metal Gear Solid Main Theme",4.808163,1108
9893,"Punch-Out!!","Game Over","Little Mac's Confession",3.7866666,1108
11087,"Mystic Awakening: Music of Final Fantasy VI","Daniel Brown","Awakening",4.648148,1099
13122,"Magician","Neil Baldwin","Town of Serenna",3.9404256,1099
14303,"Rygar","Michiharu Hasuya","Sagila's Cave",4.114286,1099
14378,"Metal Masters","Alberto José González","Battle",4.1911764,1099
14400,"Mega Man Xtreme","Toshio Kajino, Saori Maeda","Shock Therapy ('Spark Mandrill' - Mega Man X)",4.5538464,1099
14549,"Mega Man: Dr Wily's Revenge","Makoto Tomozawa","Elec Man Stage",4.2173915,1099
14678,"Slalom","David Wise","Downhill Theme",3.9954545,1099
14889,"Final Fantasy VIII Chips","KPLECRAFT","The Man with the Machine Gun ~ Maybe I'm a Lion",4.197872,1099
15017,"The Legend of Zelda","Koji Kondo","Intro",4.822472,1099
15667,"Tree of Knowledge ～知恵の樹～","yogurtbox","愛のテーマ / Making Love",3.8214285,1099
16988,"Adventure Island 2","Miyoshi Okuyama","Ice Island 1",3.6666667,1099
17628,"Turrican","Ramiro Vaca","Ending",3.688,1099
17957,"Punch-Out!!","Scott Peeples","Dream Fighter",4.4938774,1099
18038,"Super Hang-On","Juan Medrano","Burn, Baby, Burn!",4.4505053,1099
18158,"The Adventures of Bayou Billy","Evil Horde","El Lagarto",4.305263,1099
18180,"Oddworld: Abe's Oddysee","The Orichalcon","The Monsaic",3.5166667,1099
18609,"Kirby's Block Ball","Hollidayrain","Breakout",4.2741575,1099
18630,"Faxanadu","Nurykabe","Ce pays me rend mauvais",4.010811,1099
19851,"Super Mario Bros. 3","Seventh Epic","Pipes",4.348936,1099
20010,"Fire Emblem","Kevin Stephens, trickwaters","Etude for Piano in F# minor",4.0571427,1099
20025,"Killer Instinct (SNES)","Jared Hudson","Killer Instincts Enhanced",4.1034484,1099
20026,"Luigi's Mansion","Xaleph","That Balcony Thing",3.9516482,1099
20570,"Super C","BrainCells","Against the Rest",3.5728815,1099
20764,"The Elder Scrolls III: Morrowind","The Wingless","Island of Edges",4.2190475,1099
20884,"Alisia Dragoon","LastUnicron","Halls of Abandonment",4.2294736,1099
21150,"Final Fantasy Adventure","Big Giant Circles","Begin the End of the Beginning",4.078125,1099
22013,"Super Mario 64: Portrait of a Plumber","Fishy","Sunken Secrets",4.924138,1099
22031,"Robocop","Jonathan Dunn","Title Theme",3.9884057,1099
23345,"The Last of Us","nckmusic","Sarah",3.8,1099
23447,"Gun.Smoke","Junko Tamiya","Hicksville",3.9958334,1099
26700,"Super Cartography Bros.","Flexstyle, XPRTNovice","Caravan Bowser",4.7377357,1099
26763,"Too Bleep to Blop","8bit bEtty","Spooky Loop",3.66875,1099
27194,"Mysterious Space","DDRKirby(ISQ)","Afterglow",4.6072726,1099
27642,"Apex 2016: I Got Next","PRYZM","The Path of Heaven",4.3824563,1099
28346,"Gunstar Heroes (Game Gear)","Masami Yitsuse, M. Yoshida, Y. Mizusawa","Empire - The Final Assault",3.878788,1099
28425,"Mega Man Zero 2","timaeus222","Amorphous Freeze",4.273077,1099
2887,"Final Fantasy Tactics A2","Hitoshi Sakimoto","Companions That Surpassed Their Tribes",4.631579,1099
2922,"Final Fantasy IV Celtic Moon","Nobuo Uematsu, Máire Breatnach","Main Theme of Final Fantasy IV",4.7162395,1099
30119,"Sonic the Hedgehog 3","PirateCrab","Aquapump",4.19,1099
31489,"Secret of Mana","RebeccaETripp, Gamer of the Winds","Colours of the Winter Sky",4.5132074,1099
31528,"Battle Garegga Rev.2016","Manabu Namiki","Fly to the Leaden Sky (Stage 1 - Valley)",4.610526,1099
34749,"Ico","Steven Geraghty","You were There",4.4,1099
34918,"BadAss: Paragons & Renegades","bLiNd","Bassbag",4.426415,1099
34922,"BadAss: Paragons & Renegades","Lashmush","Devil's Lament",4.5617023,1099
35411,"Kid Icarus: Uprising","MkVaff","Black Feathers in the Sky",4.425532,1099
35758,"Cadence of Hyrule","Danny Baranowsky","Overworld (Combat)",4.7792206,1099
36970,"Dragon Ball Z: Budokai 2","B-laze","Twisted Soul",3.4666667,1099
37401,"Goemon's Great Adventure","PrismaticBlack","The Heart Beats with the Rhythm of the Rain",4.118919,1099
37818,"Kirby 64: The Crystal Shards","Erik McClure","The Last Dead Angel",4.309091,1099
38480,"The Revenge of Shinobi","WillRock","The Lonely Lover",4.386667,1099
39127,"Sonic the Fighters","Maki Morrow","CASINO NIGHT [Here We Go]",3.9444444,1099
39170,"Metroid Fusion","Xaleph, Emunator, ZackParrish, Lucas Guimaraes, Ridley Snipes, JSABlixer, lunarice","DIABLO ALADO",3.8235295,1099
39196,"Flowstone Saga","prophetik music","Ruins of the Future",3.9411764,1099
39200,"Eliminator","Jeroen Tel","Title Screen",3.9529412,1099
10116,"Made of Metal","Viking Guitar","Cave Story - Of Rabbits and Robots",4.591892,1090
10227,"Beyond The End of Time: An Orchestral Tribute to Chrono Trigger","Vernian Process","The Outskirts of Time",4.8931036,1090
1151,"Mega Man X","Makoto Tomozawa","Storm Eagle Stage",4.805926,1090
12892,"Cheetahmen II","Ed Bogas","Main Theme",3.9762375,1090
1336,"Beyond Good & Evil","Christophe Héral","Home Sweet Home",4.637037,1090
13843,"Chip 'n Dale: Rescue Rangers","Harumi Fujita","Title Theme",4.272973,1090
14117,"Comic Bakery","Martin Galway","Title",3.790476,1090
14496,"Mega Man 3","Yasuaki Fujita","Title",4.865625,1090
15069,"Balloon Fight","Hirokazu Tanaka","Bonus Round",4.208889,1090
15076,"NightSky","Chris Schlarb","Credits",3.7789474,1090
15342,"Reawakening","Mark 'TDK' Knight","Albino 4 (8bit Instrumental Mix)",4.3333335,1090
17325,"Touhou Kaikidan: Mystic Square","ZUN","Romantic Children",4.15,1090
17760,"Spelunky","George Buzinkai","Cave",4.3851852,1090
17801,"Metal Gear","Iku Mizutani, Shigehiro Takenouchi, Motoaki Furukawa","Big Boss",3.511111,1090
18118,"Kirby: Canvas Curse","halc","I Want You Inside Me",4.16,1090
18148,"Suikoden","Trenthian","Days Long Passed, Seldom Remembered",4.448101,1090
18179,"Cheetahmen II","PrototypeRaptor","C.H.E.E.T.A.H.",4.221818,1090
18227,"Ghosts'n Goblins","Instant Remedy","Trance Version",3.874074,1090
18333,"Breath of Fire II","Gman","You Must Dance",3.605797,1090
18351,"BadAss: Boss Themes: Volume II","Lashmush","Bowzilla",3.9,1090
18577,"Top Gear 3000","Collaborator","Shop Mix",3.567857,1090
18587,"Sonic the Hedgehog: Triple Trouble","Sadorf, Sir_NutS","A New Ray of Light",4.0986667,1090
18631,"ActRaiser","MkVaff","Fillmore Freestyle",4.3326087,1090
18652,"Breath of Death VII: The Beginning","Brandon Strader, Rexy, WillRock, Jeff Ball","Quest in Peace",3.4906666,1090
18674,"Street Fighter III: 3rd Strike: Fight for the Future","MkVaff","Jungle Jazz",3.78,1090
18714,"Metroid","Sam Dillard","The Crimson Depths",4.5692306,1090
18785,"Chrono Trigger","Skrypnyk, ambient","Back 2 Skala",4.5296297,1090
18990,"Sonic Adventure","MkVaff","Taikal Drum 'n' Ragga",3.732143,1090
19168,"Stunt Race FX","analoq","Thin Glow",4.1129413,1090
19337,"Boogerman: A Pick and Flick Adventure","jaxx, Nate Cloud","Sewer Thug",3.024,1090
19408,"Mega Man X: Maverick Rising","ansgaros","Noble Creature of Snow",4,1090
19550,"Ecco: The Tides of Time","Level 99, Moonlapse, OceansAndrew","Waves of Stone",4.27,1090
19809,"Final Fantasy","LuIzA","Fire Cross",4.6458716,1090
19948,"Ico","Binster","Icon",3.808108,1090
19961,"Final Fantasy IV","kLuTz","Tale in Piano",4.266667,1090
19991,"Donkey Kong Country: Kong in Concert","Vig","Beneath the Surface",4.680315,1090
20059,"Final Fantasy VI: Balance and Ruin","Chad Seiter","Terra's Resolve",4.417778,1090
20077,"Final Fantasy VI: Balance and Ruin","bustatunez","Prologue",4.4545455,1090
20153,"Teenage Mutant Ninja Turtles IV: Turtles in Time","tefnek, zircon","Waste Water Wipeout",4.423656,1090
20298,"The Legend of Zelda: A Link to the Past","WillRock","Transient Shadows",4.6301885,1090
20342,"Final Fantasy VII: Voices of the Lifestream","Tweex","Frozen Landscape",3.7534883,1090
20379,"Final Fantasy IX","NoppZ","Jamming Loneliness",3.523077,1090
20489,"Puzzle Bobble","COUCOU","Silver Dragon's Bubbles",3.709091,1090
