id,album,artist,title,2024-09-29
1,"Bravely Default","Revo","Conflict's Chime",1018
10,"Bravely Default","Revo","The Fascinating Flower Country",
100,"Banjo-Kazooie: Nuts & Bolts","David Clynick","Testing Times",
1000,"Darkstalkers 2: Vampire Hunter","ANARCHY TAKAPON, Hideki O.K, Akari Kaida","Demitri Stage (Romania)",
10000,"CADENZA -Gyakuten Saiban 1-","Magical Trick Society","Mayoi Ayasato ~ Turnabout Sisters Theme 2001",
10001,"CADENZA -Gyakuten Saiban 1-","Magical Trick Society","Ryuichi Naruhodo ~ Objection! 2001",
10002,"CADENZA -Gyakuten Saiban 1-","Magical Trick Society","Investigation ~ Core 2001",
10004,"CADENZA -Gyakuten Saiban 1-","Magical Trick Society","Victory! ~ The First Victory",
10006,"CADENZA -Gyakuten Saiban 1-","Magical Trick Society","Pressing Pursuit ~ Cornered",
10008,"Over the Sky -Final Fantasy XII-","Magical Trick Society","The Royal City of Rabanastre / Town Ward Upper Stratum",
10009,"Over the Sky -Final Fantasy XII-","Magical Trick Society","Desperate Fight",
1001,"Darkstalkers 2: Vampire Hunter","ANARCHY TAKAPON, Hideki O.K, Akari Kaida","Gallon Stage (England)",
10010,"Over the Sky -Final Fantasy XII-","Magical Trick Society","Giza Plains",991
10011,"Over the Sky -Final Fantasy XII-","Magical Trick Society","Penelo's Theme",991
10012,"Over the Sky -Final Fantasy XII-","Magical Trick Society","The Dalmasca Estersand",
10013,"Over the Sky -Final Fantasy XII-","Magical Trick Society","Clash on the Big Bridge ~FFXII Version~",
10014,"Over the Sky -Final Fantasy XII-","Magical Trick Society","Clash of Swords",
10015,"Live at Symphony Hall","Video Game Orchestra","Vampire Killer (Castlevania)",
10016,"Live at Symphony Hall","Video Game Orchestra","Chrono Trigger",
10017,"Live at Symphony Hall","Video Game Orchestra","Sakimoto Medley (Final Fantasy Tactics)",
10018,"Live at Symphony Hall","Video Game Orchestra","Theme of World Warriors (Street Fighter 2)",
1002,"Darkstalkers 2: Vampire Hunter","ANARCHY TAKAPON, Hideki O.K, Akari Kaida","Bishamon Stage (Japan)",
10020,"Live at Symphony Hall","Video Game Orchestra","The End of the World (Grandia)",
10022,"Live at Symphony Hall","Video Game Orchestra","Snake Eater (Metal Gear Solid 3)",
10023,"Live at Symphony Hall","Video Game Orchestra","Theme of Grandia (Grandia)",
10025,"Live at Symphony Hall","Video Game Orchestra","God of War",
10026,"Passion","Eminence","Ferris Wheel",
10027,"Passion","Eminence","Mai",
10028,"Passion","Eminence","Dream of the Shore - Bordering Another World",
10029,"Passion","Eminence","Free Bird",
10030,"Passion","Eminence","Is Kirite Burning Up",
10031,"Passion","Eminence","Time's Scar",991
10032,"Passion","Eminence","Sailing to the World",
10033,"Passion","Eminence","The Sunlit Earth",
10034,"Passion","Eminence","Sakura",
10035,"Passion","Eminence","Pain",
10036,"Passion","Eminence","Radical Dreamers",
10037,"Nemesis","Peter W","Nemesis (The Arcade Remix)",
10038,"Final Fantasy Adventure","Compyfox","Mission of Mana",
10039,"Metroid Prime","Villainelle","Jackson Break",
1004,"Darkstalkers 2: Vampire Hunter","ANARCHY TAKAPON, Hideki O.K, Akari Kaida","Lei-lei Ending",
10040,"Metroid Prime","Meteo Xavier","I, Samus (Godwave)",
10042,"Classic Video Game Music","Seattle Jazz Composers Ensemble","Guile",
10043,"Classic Video Game Music","Seattle Jazz Composers Ensemble","Vega (Main Theme)",
10046,"Classic Video Game Music","Seattle Jazz Composers Ensemble","Super Mario Bros. 3",
10048,"Classic Video Game Music","Seattle Jazz Composers Ensemble","Super Mario Bros.",
1005,"Darkstalkers 2: Vampire Hunter","ANARCHY TAKAPON, Hideki O.K, Akari Kaida","Zabel Stage (Australia)",
10050,"Kingdom Hearts Destiny","Bak.R","Riku (Orchestral)",
10051,"Kingdom Hearts Destiny","Bak.R","Scythe Of Petals (Orchestral)",
10052,"Kingdom Hearts Destiny","Bak.R","Roxas (Orchestral)",
10053,"Kingdom Hearts Destiny","Bak.R","The Lord Of The Castle (Orchestral)",
10054,"Kingdom Hearts Destiny","Bak.R","Fate Of The Unknown (Orchestral)",
10055,"Kingdom Hearts Destiny","Bak.R","The Other Promise (Orchestral)",
10056,"Kingdom Hearts Destiny","Bak.R","Dearly Beloved (Orchestral)",
10057,"Kingdom Hearts Destiny","Bak.R","Destati (Orchestral)",
10058,"Kingdom Hearts Destiny","Bak.R","Dance Of The Darling (Orchestral)",
10059,"Kingdom Hearts Destiny","Bak.R","Xion Theme (Orchestral)",
1006,"Darkstalkers 3: Vampire Savior","ANARCHY TAKAPON, Masato Kouda","Red Thirst",
10060,"Kingdom Hearts Destiny","Bak.R","Rage Awakened (Orchestral)",
10061,"Kingdom Hearts Destiny","Bak.R","Another Side (Orchestral)",
10063,"Star Ocean: The Second Story","EgM","Cuddle Remix",
10066,"From 8 To Infinity","Zubareus","Batman: Return of The Joker",
10067,"From 8 To Infinity","Zubareus","Journey To Silius",991
10068,"From 8 To Infinity","Zubareus","TMNT 3",
1007,"Darkstalkers 3: Vampire Savior","ANARCHY TAKAPON, Masato Kouda","Green Screams",
10070,"From 8 To Infinity","Zubareus","Alien 3 (intro)",991
10071,"From 8 To Infinity","Zubareus","Silver Surfer",
10072,"From 8 To Infinity","Zubareus","Dr. Mario",
10073,"From 8 To Infinity","Zubareus","Robocop 3",
10075,"Zero Wing","CarboHydroM","Open Future",
10076,"Shadow of the Beast","Traxer","Shadow of the Beast (hymn intro mix)",
10077,"Shadow of the Beast","daXX","Title Orchestra Remix",
10078,"Batman: Revenge of the Joker","Manuel Mora","Stage 1",
10079,"Teenage Mutant Ninja Turtles IV: Turtles in Time","Cyan","Infiltrating The Fortress",
1008,"Darkstalkers 3: Vampire Savior","ANARCHY TAKAPON, Masato Kouda","Vanity Paradise",
10080,"Gyruss","Temp Sound Solutions, housethegrate","Tocatta and Fuga in D Minor",
10083,"Rygar","Rex Banter Project","To the Cave",
10084,"Nostalgic Pleasure","Thunderclash","The Warrior's Code (Street Fighter 2 & Punch-Out)",
10085,"Nostalgic Pleasure","Thunderclash","Dark Lord Bowser (Super Mario Series)",
10086,"Nostalgic Pleasure","Thunderclash","Mega Medley (Mega Man X)",
10087,"Nostalgic Pleasure","Thunderclash","Agahnim's Return, A Tribute to the Past (The Legend of Zelda)",
10088,"Nostalgic Pleasure","Thunderclash","Raising Spirit (Punch-Out)",
10089,"Nostalgic Pleasure","Thunderclash","The Pink Block (Tetris & Kirby's Dreamland)",
10090,"Nostalgic Pleasure","Thunderclash","He Wants To Suck Your... (Castlevania Series)",
10091,"Nostalgic Pleasure","Thunderclash","Mega Men (Mega Man 2)",
10093,"Thunder Force V","CarboHydroM","Far Beyond Heavens",
10096,"Castlevania: Portrait of Ruin","Manuel Mora","The Gears Go Awry",
10098,"Gamer Symphony Orchestra Spring 2010","University of Maryland Gamer Symphony Orchestra","Coronation/Baba Yetu",
10099,"Gamer Symphony Orchestra Spring 2010","University of Maryland Gamer Symphony Orchestra","Groove",
1010,"Jet Moto","Chuck E. Myers","Cliffdiver",
10100,"Gamer Symphony Orchestra Spring 2010","University of Maryland Gamer Symphony Orchestra","Hall of Champions",
10102,"Gamer Symphony Orchestra Spring 2010","University of Maryland Gamer Symphony Orchestra","Gusty Garden Galaxy",
10103,"Derris-Kharlan - Live","Derris-Kharlan","Shiva",
10104,"Derris-Kharlan - Live","Derris-Kharlan","Luna",
10105,"Derris-Kharlan - Live","Derris-Kharlan","Mother Bee",
10106,"Derris-Kharlan - Live","Derris-Kharlan","Tempest",
10108,"Derris-Kharlan - Live","Derris-Kharlan","Oasis",
10112,"Super Aleste","CarboHydroM","Starshine On The Rocks",991
10113,"Pokémon Black/White","Pokémon Reorchestrated","Black and White",
10114,"Made of Metal","Viking Guitar","One Must Fall 2097 - OMFG!",
10115,"Made of Metal","Viking Guitar","Cave Story - Penultimate",
10116,"Made of Metal","Viking Guitar","Cave Story - Of Rabbits and Robots",1018
10117,"Made of Metal","Viking Guitar","Cave Story - From the Earth to the Moon",
10118,"Made of Metal","Viking Guitar","Cave Story - Fields of Awesome",
10119,"Made of Metal","Viking Guitar","Terminator 2 - Made of Metal",
1012,"Jet Moto","Chuck E. Myers","Blackwater Falls Suicide Swamp",991
10120,"Life Force","CarboHydroM","Desperate Chase",1018
10121,"It's Not Over Yet!","Repliforce","Infinite Rays of Light",
10124,"It's Not Over Yet!","Repliforce","Chaotic Flames",
10125,"It's Not Over Yet!","Repliforce","Dangerously Obsessive",
10126,"It's Not Over Yet!","Repliforce","Into the Skies Above",991
10127,"It's Not Over Yet!","Repliforce","Hunter's Determination",
10128,"Space Quest III: The Pirates of Pestulon","Disturbed","Piano Remix",
1013,"Jet Moto","Chuck E. Myers","Ice Crusher",
10140,"The Final Fantasy Legend","analoq","final fanta legend",
10141,"Green Beret","Allister Brimble","Green Beret Full Orch",
10142,"Green Beret","Reyn Ouwehand","Green Beret [live at The Church]",
10145,"Mega Man Zero 2","Manuel Mora","Departure",
10147,"Winter Dreamers EP","Level 99","Winter NiGHTS (Hey Dreamer, Can't Dance Sleeping Mix)",
10149,"Ys VI: The Ark of Napishtim","Vurez","Thrashing Through Grana-Vallis 2006",
1015,"Jet Moto","Chuck E. Myers","Willpower",
10150,"Golden Sun","Manuel Mora","Golden Sun Theme",
10152,"Gamer Symphony Orchestra Spring 2009","University of Maryland Gamer Symphony Orchestra","Kingdom Hearts – Hikari",
10153,"Gamer Symphony Orchestra Spring 2009","University of Maryland Gamer Symphony Orchestra","Final Fantasy 7 – Aerith’s Theme (Piano and Flute Duet)",
10154,"Trolls","Floaf","The evil trolls from the dark forest",
10155,"Everything You Know Is Wrong","This Place is Haunted","Sonic The Hedgehog",
10156,"Everything You Know Is Wrong","This Place is Haunted","Final Fantasy",
10158,"Everything You Know Is Wrong","This Place is Haunted","Legend Of Zelda",
10159,"Everything You Know Is Wrong","This Place is Haunted","Ending",
1016,"Jet Moto","Chuck E. Myers","Nightmare",
10160,"Everything You Know Is Wrong","This Place is Haunted","Marble Madness",
10163,"The Legend of Zelda: Ocarina of Time","CSGuitar89, FamilyJules7x","Hyrule Field (CSGuitar89)",
10165,"The Legend of Zelda: Ocarina of Time","CSGuitar89","Zelda's Lullaby",
10166,"The Legend of Zelda: Ocarina of Time","Theory of N","Bolero en Fuego",
10167,"The Legend of Zelda: Ocarina of Time","k-wix","Flight of the Gerudo",
10169,"The Legend of Zelda: Ocarina of Time","CSGuitar89","Ocarina of Time Warp Songs Medley",
1017,"Frozen Synapse","nervous_testpilot","Parting Shots",
10171,"The Legend of Zelda: Ocarina of Time","Lemonectric","Navi Gate",
10173,"The Legend of Zelda: Ocarina of Time","Manuel Mora","Kakariko Village Windmill",991
10179,"Final Fantasy IX","katethegreat19","You're Not Alone",
1018,"Frozen Synapse","nervous_testpilot","The Fix",
10180,"Final Fantasy IX","Destiny","Veiled World",
10181,"Final Fantasy IX","Eric Barker","Freya: Burmecian Spirit",
1019,"Frozen Synapse","nervous_testpilot","Deeper",
102,"Banjo-Kazooie: Nuts & Bolts","Grant Kirkhope","Banjoland Buffoonery",
1020,"Frozen Synapse","nervous_testpilot","Focus",
10200,"Castlevania: The Adventure","MkVaff","CV2K",
10201,"Castlevania: The Adventure","Minotaur Project","Battle of the Holy",1018
10203,"Tearing Reality Asunder","Order of Týr","Overture I",991
10206,"Final Fantasy X","Danimal Cannon","Tag Team Back Again",
10207,"Final Fantasy X","katethegreat19","Hymn Of The Fayth",1018
10208,"Final Fantasy X","Danimal Cannon","Beauty In The Unresolved",
10209,"Final Fantasy X","katethegreat19,  SacridiaDarque","Suteki Da Ne",
1021,"Frozen Synapse","nervous_testpilot","My Beautiful Escape",
10210,"Final Fantasy X","Xerol","Prelude to Sin",
10211,"Bionic Commando","d0d0","BIONICBPM",
10212,"Bionic Commando","Manuel Mora","Area 1",
